Episode,Time steps,Episode Rewards,Average Rewards,Epsilon,Elapsed,Total Elapsed
35,13,10.428371955962403,0.802182458150954,0.0,0.8125200271606445,86.99183893203735
36,21,17.082114411347202,0.813434019587962,0.0,1.3812041282653809,88.37304306030273
37,93,81.20705582857373,0.8731941486943412,0.0,5.768357038497925,94.14140009880066
38,40,34.19096977274787,0.8547742443186968,0.0,2.636737585067749,96.77813768386841
39,63,56.222700760697755,0.8924238215983771,0.0,3.8665761947631836,100.64471387863159
40,73,64.43844186595628,0.8827183817254285,0.0,4.381337881088257,105.02605175971985
41,9,7.100903135977449,0.7889892373308276,0.0,0.6548275947570801,105.68087935447693
42,12,10.151489373535073,0.8459574477945894,0.0,0.7719924449920654,106.452871799469
43,15,12.79261367333292,0.852840911555528,0.0,1.0346806049346924,107.48755240440369
44,13,10.618897998926519,0.8168383076097322,0.0,0.886000394821167,108.38918852806091
45,46,41.46383713519455,0.9013877638085772,0.0,2.803377628326416,111.19357490539551
46,8,5.894464025475331,0.7368080031844164,0.0,0.5489449501037598,111.74251985549927
47,10,7.714285714285714,0.7714285714285715,0.0,0.6718604564666748,112.41438031196594
48,10,7.903860546399749,0.7903860546399749,0.0,0.6854147911071777,113.09979510307312
49,9,7.424607278221483,0.8249563642468315,0.0,0.6032028198242188,113.70299792289734
50,23,19.684286779807046,0.8558385556437846,0.0,1.5381865501403809,115.24218678474426
51,21,19.111593919027147,0.9100759009060546,0.0,1.294729232788086,116.53691601753235
52,7,5.701579781455634,0.8145113973508049,0.0,0.4701356887817383,117.00705170631409
53,16,13.39260172231503,0.8370376076446894,0.0,1.049945592880249,118.05699729919434
54,8,6.46745066255438,0.8084313328192975,0.0,0.5166633129119873,118.57366061210632
55,99,87.17769175176585,0.8805827449673318,0.0,6.47630500793457,125.0499656200409
56,39,34.847233679082095,0.8935188122841563,0.0,2.5725302696228027,127.6224958896637
57,32,29.31755387505064,0.9161735585953324,0.0,2.1677887439727783,129.79028463363647
58,9,6.714285714285714,0.746031746031746,0.0,0.6394469738006592,130.42973160743713
59,73,65.12967717505866,0.8921873585624474,0.0,4.766003847122192,135.19573545455933
60,9,7.219391612139971,0.8021546235711079,0.0,0.6091575622558594,135.80489301681519
61,71,62.79020807877147,0.8843691278700208,0.0,4.6122190952301025,140.4171121120453
62,79,70.10553939310272,0.8874118910519331,0.0,5.371640920639038,145.78875303268433
63,18,14.853135221160906,0.8251741789533837,0.0,1.2188961505889893,147.00764918327332
64,38,33.30210222843173,0.8763711112745192,0.0,2.487610101699829,149.49525928497314
65,16,13.71783142997907,0.8573644643736918,0.0,0.9735057353973389,150.46876502037048
66,99,88.68172069211455,0.8957749564860056,0.0,6.008576154708862,156.49293518066406
67,92,82.31923310499778,0.8947742728804107,0.0,5.469556570053101,161.96249175071716
68,46,39.87412010692904,0.8668286979767182,0.0,3.1687097549438477,165.131201505661
69,36,31.87582103743279,0.8854394732620219,0.0,2.442495107650757,167.57469606399536
70,13,10.889116522863533,0.8376243479125794,0.0,0.8793492317199707,168.45404529571533
71,49,43.39632253904738,0.885639235490763,0.0,3.224268913269043,171.67831420898438
72,9,7.093449359108496,0.788161039900944,0.0,0.6093912124633789,172.28770542144775
73,14,11.233008926992536,0.8023577804994668,0.0,0.9064846038818359,173.1941900253296
74,77,68.99266310873298,0.8960086118017271,0.0,5.095531225204468,178.28972125053406
75,12,9.367989025562911,0.7806657521302426,0.0,0.7780807018280029,179.06780195236206
76,10,8.017710172446732,0.8017710172446731,0.0,0.7199239730834961,179.78772592544556
